Theta_deg,Volume_m3,Pressure_Pa,Turbulence_k,BurnFraction_xb,EndGas_Temperature_K,EndGas_Pressure_Pa,KnockIntegral_KI,KnockDetected,KnockTheta_deg
-22,6.691447155697765e-05,1688590.841769214,0.0,0.0,624.2640549638173,1688590.841769214,4.4489724000916795e-13,False,
-21,6.486701567697765e-05,1760938.5917012184,59.620491056958244,0.0,631.0909846424978,1760938.5917012184,6.450393809999088e-13,False,
-20,6.290792737692747e-05,1835372.5913387563,0.0,0.0,637.9012682080473,1835372.5913387563,9.292683079184376e-13,False,
-19,6.103817090187495e-05,1911676.7611496162,54.43419644727869,0.0,644.673500286197,1911676.7611496162,1.3293618098279856e-12,False,
-18,5.925866740606812e-05,1989580.2500816097,0.0,0.0,651.3841535150068,1989580.2500816097,1.8871346050022557e-12,False,
-17,5.757029436101955e-05,2068752.771348554,49.18158215417329,0.0,658.0075699499862,2068752.771348554,2.6565859412196165e-12,False,
-16,5.597388499385256e-05,2148800.7228639647,0.0,0.0,664.5159959102451,2148800.7228639647,3.705998109414385e-12,False,
-15,5.447022775597958e-05,2229264.460043924,43.86904767905501,0.0,670.879668582767,2229264.460043924,5.119690196852259e-12,False,
-14,5.306006582214424e-05,2309617.1276643327,0.0,0.0,677.0669624833705,2309617.1276643327,6.999015385219826e-12,False,
-13,5.174409661985767e-05,2389265.477861071,38.50306552684856,0.0,683.0446031054269,2389265.477861071,9.462085004389748e-12,False,
-12,5.052297138924033e-05,2467553.0945983427,0.0,0.0,688.7779536567944,2467553.0945983427,1.2641639875460308e-11,False,
-11,4.939729477327918e-05,2543766.402340385,33.090173320240226,0.0,694.2313786032894,2543766.402340385,1.6680509322568002e-11,False,
-10,4.836762443850178e-05,2617143.7507980675,0.0,0.0,699.3686847618327,2617143.7507980675,2.1724242248675156e-11,False,
-9,4.743447072606107e-05,2686888.3044695677,27.636965834591624,5.309250050711256e-08,704.1536757154205,2686888.3044695677,2.7910803789096528e-11,False,
-8,4.659829633322616e-05,2752185.3949291706,0.0,4.2473992534208804e-07,708.5508528685095,2752185.3949291706,3.5357714676603775e-11,False,
-7,4.585951602526421e-05,2812219.4660205166,22.15008696322182,1.4334965250384357e-06,712.5259396628613,2812219.4660205166,4.414750434692722e-11,False,
